"location_name","joinpoint_model","aapc_index","start_obs","end_obs","aapc","aapc_c_i_low","aapc_c_i_high","statistically_significant_0_no_1_yes","test_statistic","p_value","p_value_label","legend","Year","Value","Label","Measure"
"Low SDI",2,"Full Range",1990,2021,-1.76,-2.34,-1.18,1,-5.929,0,"***","1990~2021
-1.76(-2.34~-1.18)***","1990~2021","-1.76 (-2.34~-1.18)","Incidence","Number"
"Low SDI",2,"1990.000-1999.000",1990,1999,1.4,0.88,1.92,1,5.619,0,"***","1990~1999
1.40(0.88~1.92)***","1990~1999","1.40 (0.88~1.92)","Incidence","Number"
"Low SDI",2,"1999.000-2009.000",1999,2009,0.48,0.22,0.75,1,3.586,0,"***","1999~2009
0.48(0.22~0.75)***","1999~2009","0.48 (0.22~0.75)","Incidence","Number"
"Low SDI",2,"2009.000-2019.000",2009,2019,0.09,-0.24,0.43,0,0.585,0.564,"","2009~2019
0.09(-0.24~0.43)","2009~2019","0.09 (-0.24~0.43)","Incidence","Number"
"Low SDI",2,"2019.000-2021.000",2019,2021,-30.75,-36.49,-24.5,1,-8.766,0,"***","2019~2021
-30.75(-36.49~-24.50)***","2019~2021","-30.75 (-36.49~-24.50)","Incidence","Number"
"Low SDI",2,"1990.000-2019.000",1990,2019,0.63,0.36,0.91,1,4.534,0,"***","1990~2019
0.63(0.36~0.91)***","1990~2019","0.63 (0.36~0.91)","Incidence","Number"
"Low-middle SDI",3,"Full Range",1990,2021,-4,-4.28,-3.71,1,-26.878,0,"***","1990~2021
-4.00(-4.28~-3.71)***","1990~2021","-4.00 (-4.28~-3.71)","Incidence","Number"
"Low-middle SDI",3,"1990.000-1999.000",1990,1999,-1.75,-2.21,-1.3,1,-7.501,0,"***","1990~1999
-1.75(-2.21~-1.30)***","1990~1999","-1.75 (-2.21~-1.30)","Incidence","Number"
"Low-middle SDI",3,"1999.000-2009.000",1999,2009,0.04,-0.21,0.28,0,0.279,0.78,"","1999~2009
0.04(-0.21~0.28)","1999~2009","0.04 (-0.21~0.28)","Incidence","Number"
"Low-middle SDI",3,"2009.000-2019.000",2009,2019,-0.96,-1.1,-0.83,1,-14.457,0,"***","2009~2019
-0.96(-1.10~-0.83)***","2009~2019","-0.96 (-1.10~-0.83)","Incidence","Number"
"Low-middle SDI",3,"2019.000-2021.000",2019,2021,-39.7,-41.85,-37.47,1,-28.963,0,"***","2019~2021
-39.70(-41.85~-37.47)***","2019~2021","-39.70 (-41.85~-37.47)","Incidence","Number"
"Low-middle SDI",3,"1990.000-2019.000",1990,2019,-0.87,-1.08,-0.66,1,-8.018,0,"***","1990~2019
-0.87(-1.08~-0.66)***","1990~2019","-0.87 (-1.08~-0.66)","Incidence","Number"
"Middle East & North Africa - WB",3,"Full Range",1990,2021,-3.21,-3.8,-2.62,1,-10.442,0,"***","1990~2021
-3.21(-3.80~-2.62)***","1990~2021","-3.21 (-3.80~-2.62)","Incidence","Number"
"Middle East & North Africa - WB",3,"1990.000-1999.000",1990,1999,-4.18,-4.94,-3.41,1,-10.487,0,"***","1990~1999
-4.18(-4.94~-3.41)***","1990~1999","-4.18 (-4.94~-3.41)","Incidence","Number"
"Middle East & North Africa - WB",3,"1999.000-2009.000",1999,2009,1.24,0.67,1.81,1,4.316,0,"***","1999~2009
1.24(0.67~1.81)***","1999~2009","1.24 (0.67~1.81)","Incidence","Number"
"Middle East & North Africa - WB",3,"2009.000-2019.000",2009,2019,6.38,5.81,6.95,1,23.877,0,"***","2009~2019
6.38(5.81~6.95)***","2009~2019","6.38 (5.81~6.95)","Incidence","Number"
"Middle East & North Africa - WB",3,"2019.000-2021.000",2019,2021,-49.57,-53.44,-45.38,1,-17.824,0,"***","2019~2021
-49.57(-53.44~-45.38)***","2019~2021","-49.57 (-53.44~-45.38)","Incidence","Number"
"Middle East & North Africa - WB",3,"1990.000-2019.000",1990,2019,1.24,0.84,1.64,1,6.055,0,"***","1990~2019
1.24(0.84~1.64)***","1990~2019","1.24 (0.84~1.64)","Incidence","Number"
"Middle SDI",5,"Full Range",1990,2021,-4.58,-4.92,-4.25,1,-26.035,0,"***","1990~2021
-4.58(-4.92~-4.25)***","1990~2021","-4.58 (-4.92~-4.25)","Incidence","Number"
"Middle SDI",5,"1990.000-1999.000",1990,1999,-2.11,-2.58,-1.63,1,-8.616,0,"***","1990~1999
-2.11(-2.58~-1.63)***","1990~1999","-2.11 (-2.58~-1.63)","Incidence","Number"
"Middle SDI",5,"1999.000-2009.000",1999,2009,0.93,0.13,1.74,1,2.27,0.023,"*","1999~2009
0.93(0.13~1.74)*","1999~2009","0.93 (0.13~1.74)","Incidence","Number"
"Middle SDI",5,"2009.000-2019.000",2009,2019,0.84,0.6,1.08,1,7.453,0,"***","2009~2019
0.84(0.60~1.08)***","2009~2019","0.84 (0.60~1.08)","Incidence","Number"
"Middle SDI",5,"2019.000-2021.000",2019,2021,-51.31,-52.57,-50.02,1,-58.546,0,"***","2019~2021
-51.31(-52.57~-50.02)***","2019~2021","-51.31 (-52.57~-50.02)","Incidence","Number"
"Middle SDI",5,"1990.000-2019.000",1990,2019,-0.05,-0.39,0.29,0,-0.306,0.759,"","1990~2019
-0.05(-0.39~0.29)","1990~2019","-0.05 (-0.39~0.29)","Incidence","Number"
"South Asia - WB",3,"Full Range",1990,2021,-3.66,-5.35,-1.95,1,-4.147,0,"***","1990~2021
-3.66(-5.35~-1.95)***","1990~2021","-3.66 (-5.35~-1.95)","Incidence","Number"
"South Asia - WB",3,"1990.000-1999.000",1990,1999,-1.8,-4.68,1.16,0,-1.197,0.231,"","1990~1999
-1.80(-4.68~1.16)","1990~1999","-1.80 (-4.68~1.16)","Incidence","Number"
"South Asia - WB",3,"1999.000-2009.000",1999,2009,0.81,-0.95,2.6,0,0.896,0.37,"","1999~2009
0.81(-0.95~2.60)","1999~2009","0.81 (-0.95~2.60)","Incidence","Number"
"South Asia - WB",3,"2009.000-2019.000",2009,2019,-4.56,-6.15,-2.93,1,-5.416,0,"***","2009~2019
-4.56(-6.15~-2.93)***","2009~2019","-4.56 (-6.15~-2.93)","Incidence","Number"
"South Asia - WB",3,"2019.000-2021.000",2019,2021,-26.2,-35.21,-15.93,1,-4.85,0,"***","2019~2021
-26.20(-35.21~-15.93)***","2019~2021","-26.20 (-35.21~-15.93)","Incidence","Number"
"South Asia - WB",3,"1990.000-2019.000",1990,2019,-1.88,-3.29,-0.44,1,-2.549,0.011,"*","1990~2019
-1.88(-3.29~-0.44)*","1990~2019","-1.88 (-3.29~-0.44)","Incidence","Number"
"Sub-Saharan Africa - WB",2,"Full Range",1990,2021,-1.05,-1.75,-0.35,1,-2.921,0.003,"**","1990~2021
-1.05(-1.75~-0.35)**","1990~2021","-1.05 (-1.75~-0.35)","Incidence","Number"
"Sub-Saharan Africa - WB",2,"1990.000-1999.000",1990,1999,2.31,1.6,3.03,1,6.735,0,"***","1990~1999
2.31(1.60~3.03)***","1990~1999","2.31 (1.60~3.03)","Incidence","Number"
"Sub-Saharan Africa - WB",2,"1999.000-2009.000",1999,2009,1.29,0.98,1.6,1,8.174,0,"***","1999~2009
1.29(0.98~1.60)***","1999~2009","1.29 (0.98~1.60)","Incidence","Number"
"Sub-Saharan Africa - WB",2,"2009.000-2019.000",2009,2019,1.03,0.67,1.4,1,5.829,0,"***","2009~2019
1.03(0.67~1.40)***","2009~2019","1.03 (0.67~1.40)","Incidence","Number"
"Sub-Saharan Africa - WB",2,"2019.000-2021.000",2019,2021,-31.74,-38.48,-24.26,1,-7.582,0,"***","2019~2021
-31.74(-38.48~-24.26)***","2019~2021","-31.74 (-38.48~-24.26)","Incidence","Number"
"Sub-Saharan Africa - WB",2,"1990.000-2019.000",1990,2019,1.52,1.18,1.85,1,8.907,0,"***","1990~2019
1.52(1.18~1.85)***","1990~2019","1.52 (1.18~1.85)","Incidence","Number"
"East Asia & Pacific - WB",2,"Full Range",1990,2021,-7.29,-7.83,-6.75,1,-25.454,0,"***","1990~2021
-7.29(-7.83~-6.75)***","1990~2021","-7.29 (-7.83~-6.75)","DALYs","Number"
"East Asia & Pacific - WB",2,"1990.000-1999.000",1990,1999,-4.92,-5.27,-4.58,1,-28.821,0,"***","1990~1999
-4.92(-5.27~-4.58)***","1990~1999","-4.92 (-5.27~-4.58)","DALYs","Number"
"East Asia & Pacific - WB",2,"1999.000-2009.000",1999,2009,-3.72,-3.98,-3.46,1,-27.789,0,"***","1999~2009
-3.72(-3.98~-3.46)***","1999~2009","-3.72 (-3.98~-3.46)","DALYs","Number"
"East Asia & Pacific - WB",2,"2009.000-2019.000",2009,2019,-1.88,-2.32,-1.44,1,-8.754,0,"***","2009~2019
-1.88(-2.32~-1.44)***","2009~2019","-1.88 (-2.32~-1.44)","DALYs","Number"
"East Asia & Pacific - WB",2,"2019.000-2021.000",2019,2021,-48.37,-52.6,-43.75,1,-15.942,0,"***","2019~2021
-48.37(-52.60~-43.75)***","2019~2021","-48.37 (-52.60~-43.75)","DALYs","Number"
"East Asia & Pacific - WB",2,"1990.000-2019.000",1990,2019,-3.47,-3.73,-3.21,1,-25.465,0,"***","1990~2019
-3.47(-3.73~-3.21)***","1990~2019","-3.47 (-3.73~-3.21)","DALYs","Number"
"Europe & Central Asia - WB",3,"Full Range",1990,2021,-8.83,-9.86,-7.8,1,-16.022,0,"***","1990~2021
-8.83(-9.86~-7.80)***","1990~2021","-8.83 (-9.86~-7.80)","DALYs","Number"
"Europe & Central Asia - WB",3,"1990.000-1999.000",1990,1999,0.7,-0.16,1.57,0,1.7,0.104,"","1990~1999
0.70(-0.16~1.57)","1990~1999","0.70 (-0.16~1.57)","DALYs","Number"
"Europe & Central Asia - WB",3,"1999.000-2009.000",1999,2009,-10.5,-11.45,-9.54,1,-20.327,0,"***","1999~2009
-10.50(-11.45~-9.54)***","1999~2009","-10.50 (-11.45~-9.54)","DALYs","Number"
"Europe & Central Asia - WB",3,"2009.000-2019.000",2009,2019,-0.35,-1.82,1.14,0,-0.466,0.641,"","2009~2019
-0.35(-1.82~1.14)","2009~2019","-0.35 (-1.82~1.14)","DALYs","Number"
"Europe & Central Asia - WB",3,"2019.000-2021.000",2019,2021,-59.04,-64.56,-52.66,1,-12.826,0,"***","2019~2021
-59.04(-64.56~-52.66)***","2019~2021","-59.04 (-64.56~-52.66)","DALYs","Number"
"Europe & Central Asia - WB",3,"1990.000-2019.000",1990,2019,-3.66,-4.39,-2.93,1,-9.619,0,"***","1990~2019
-3.66(-4.39~-2.93)***","1990~2019","-3.66 (-4.39~-2.93)","DALYs","Number"
"High SDI",2,"Full Range",1990,2021,-7.88,-8.37,-7.39,1,-29.986,0,"***","1990~2021
-7.88(-8.37~-7.39)***","1990~2021","-7.88 (-8.37~-7.39)","DALYs","Number"
"High SDI",2,"1990.000-1999.000",1990,1999,-5.53,-5.84,-5.22,1,-35.262,0,"***","1990~1999
-5.53(-5.84~-5.22)***","1990~1999","-5.53 (-5.84~-5.22)","DALYs","Number"
"High SDI",2,"1999.000-2009.000",1999,2009,-3.86,-4.09,-3.62,1,-31.302,0,"***","1999~2009
-3.86(-4.09~-3.62)***","1999~2009","-3.86 (-4.09~-3.62)","DALYs","Number"
"High SDI",2,"2009.000-2019.000",2009,2019,-1.29,-1.7,-0.88,1,-6.477,0,"***","2009~2019
-1.29(-1.70~-0.88)***","2009~2019","-1.29 (-1.70~-0.88)","DALYs","Number"
"High SDI",2,"2019.000-2021.000",2019,2021,-53,-56.56,-49.14,1,-19.772,0,"***","2019~2021
-53.00(-56.56~-49.14)***","2019~2021","-53.00 (-56.56~-49.14)","DALYs","Number"
"High SDI",2,"1990.000-2019.000",1990,2019,-3.51,-3.75,-3.26,1,-27.952,0,"***","1990~2019
-3.51(-3.75~-3.26)***","1990~2019","-3.51 (-3.75~-3.26)","DALYs","Number"
"High-middle SDI",4,"Full Range",1990,2021,-7.25,-7.98,-6.5,1,-18.504,0,"***","1990~2021
-7.25(-7.98~-6.50)***","1990~2021","-7.25 (-7.98~-6.50)","DALYs","Number"
"High-middle SDI",4,"1990.000-1999.000",1990,1999,-4.21,-5.13,-3.28,1,-8.759,0,"***","1990~1999
-4.21(-5.13~-3.28)***","1990~1999","-4.21 (-5.13~-3.28)","DALYs","Number"
"High-middle SDI",4,"1999.000-2009.000",1999,2009,-6.47,-6.92,-6.03,1,-27.637,0,"***","1999~2009
-6.47(-6.92~-6.03)***","1999~2009","-6.47 (-6.92~-6.03)","DALYs","Number"
"High-middle SDI",4,"2009.000-2019.000",2009,2019,-4,-5.5,-2.48,1,-5.092,0,"***","2009~2019
-4.00(-5.50~-2.48)***","2009~2019","-4.00 (-5.50~-2.48)","DALYs","Number"
"High-middle SDI",4,"2019.000-2021.000",2019,2021,-35.19,-40.17,-29.79,1,-11.388,0,"***","2019~2021
-35.19(-40.17~-29.79)***","2019~2021","-35.19 (-40.17~-29.79)","DALYs","Number"
"High-middle SDI",4,"1990.000-2019.000",1990,2019,-4.92,-5.57,-4.28,1,-14.587,0,"***","1990~2019
-4.92(-5.57~-4.28)***","1990~2019","-4.92 (-5.57~-4.28)","DALYs","Number"
"Latin America & Caribbean - WB",3,"Full Range",1990,2021,-6.4,-6.68,-6.11,1,-42.307,0,"***","1990~2021
-6.40(-6.68~-6.11)***","1990~2021","-6.40 (-6.68~-6.11)","DALYs","Number"
"Latin America & Caribbean - WB",3,"1990.000-1999.000",1990,1999,-3.93,-4.23,-3.63,1,-26.911,0,"***","1990~1999
-3.93(-4.23~-3.63)***","1990~1999","-3.93 (-4.23~-3.63)","DALYs","Number"
"Latin America & Caribbean - WB",3,"1999.000-2009.000",1999,2009,-2.39,-2.69,-2.09,1,-15.324,0,"***","1999~2009
-2.39(-2.69~-2.09)***","1999~2009","-2.39 (-2.69~-2.09)","DALYs","Number"
"Latin America & Caribbean - WB",3,"2009.000-2019.000",2009,2019,2.2,1.82,2.58,1,11.507,0,"***","2009~2019
2.20(1.82~2.58)***","2009~2019","2.20 (1.82~2.58)","DALYs","Number"
"Latin America & Caribbean - WB",3,"2019.000-2021.000",2019,2021,-56.47,-58.17,-54.7,1,-43.454,0,"***","2019~2021
-56.47(-58.17~-54.70)***","2019~2021","-56.47 (-58.17~-54.70)","DALYs","Number"
"Latin America & Caribbean - WB",3,"1990.000-2019.000",1990,2019,-1.32,-1.52,-1.12,1,-12.998,0,"***","1990~2019
-1.32(-1.52~-1.12)***","1990~2019","-1.32 (-1.52~-1.12)","DALYs","Number"
"Low SDI",2,"Full Range",1990,2021,-2.86,-3.5,-2.21,1,-8.582,0,"***","1990~2021
-2.86(-3.50~-2.21)***","1990~2021","-2.86 (-3.50~-2.21)","DALYs","Number"
"Low SDI",2,"1990.000-1999.000",1990,1999,0.98,0.32,1.64,1,3.066,0.005,"**","1990~1999
0.98(0.32~1.64)**","1990~1999","0.98 (0.32~1.64)","DALYs","Number"
"Low SDI",2,"1999.000-2009.000",1999,2009,-0.76,-1.04,-0.47,1,-5.174,0,"***","1999~2009
-0.76(-1.04~-0.47)***","1999~2009","-0.76 (-1.04~-0.47)","DALYs","Number"
"Low SDI",2,"2009.000-2019.000",2009,2019,-1.18,-1.52,-0.85,1,-7.218,0,"***","2009~2019
-1.18(-1.52~-0.85)***","2009~2019","-1.18 (-1.52~-0.85)","DALYs","Number"
"Low SDI",2,"2019.000-2021.000",2019,2021,-32.71,-38.95,-25.84,1,-8.407,0,"***","2019~2021
-32.71(-38.95~-25.84)***","2019~2021","-32.71 (-38.95~-25.84)","DALYs","Number"
"Low SDI",2,"1990.000-2019.000",1990,2019,-0.37,-0.68,-0.06,1,-2.338,0.019,"*","1990~2019
-0.37(-0.68~-0.06)*","1990~2019","-0.37 (-0.68~-0.06)","DALYs","Number"
"Low-middle SDI",3,"Full Range",1990,2021,-5.17,-5.55,-4.78,1,-25.719,0,"***","1990~2021
-5.17(-5.55~-4.78)***","1990~2021","-5.17 (-5.55~-4.78)","DALYs","Number"
"Low-middle SDI",3,"1990.000-1999.000",1990,1999,-2.73,-3.36,-2.08,1,-8.215,0,"***","1990~1999
-2.73(-3.36~-2.08)***","1990~1999","-2.73 (-3.36~-2.08)","DALYs","Number"
"Low-middle SDI",3,"1999.000-2009.000",1999,2009,-1.45,-1.73,-1.17,1,-10.085,0,"***","1999~2009
-1.45(-1.73~-1.17)***","1999~2009","-1.45 (-1.73~-1.17)","DALYs","Number"
"Low-middle SDI",3,"2009.000-2019.000",2009,2019,-3.19,-3.39,-2.98,1,-31.371,0,"***","2009~2019
-3.19(-3.39~-2.98)***","2009~2019","-3.19 (-3.39~-2.98)","DALYs","Number"
"Low-middle SDI",3,"2019.000-2021.000",2019,2021,-37.06,-40.18,-33.78,1,-18.955,0,"***","2019~2021
-37.06(-40.18~-33.78)***","2019~2021","-37.06 (-40.18~-33.78)","DALYs","Number"
"Low-middle SDI",3,"1990.000-2019.000",1990,2019,-2.45,-2.72,-2.17,1,-17.417,0,"***","1990~2019
-2.45(-2.72~-2.17)***","1990~2019","-2.45 (-2.72~-2.17)","DALYs","Number"
"Middle East & North Africa - WB",3,"Full Range",1990,2021,-5.82,-6.46,-5.17,1,-17.197,0,"***","1990~2021
-5.82(-6.46~-5.17)***","1990~2021","-5.82 (-6.46~-5.17)","DALYs","Number"
"Middle East & North Africa - WB",3,"1990.000-1999.000",1990,1999,-5.2,-5.85,-4.54,1,-16.061,0,"***","1990~1999
-5.20(-5.85~-4.54)***","1990~1999","-5.20 (-5.85~-4.54)","DALYs","Number"
"Middle East & North Africa - WB",3,"1999.000-2009.000",1999,2009,-1.83,-2.51,-1.15,1,-5.252,0,"***","1999~2009
-1.83(-2.51~-1.15)***","1999~2009","-1.83 (-2.51~-1.15)","DALYs","Number"
"Middle East & North Africa - WB",3,"2009.000-2019.000",2009,2019,3.09,2.24,3.94,1,7.223,0,"***","2009~2019
3.09(2.24~3.94)***","2009~2019","3.09 (2.24~3.94)","DALYs","Number"
"Middle East & North Africa - WB",3,"2019.000-2021.000",2019,2021,-52.69,-56.71,-48.3,1,-17.527,0,"***","2019~2021
-52.69(-56.71~-48.30)***","2019~2021","-52.69 (-56.71~-48.30)","DALYs","Number"
"Middle East & North Africa - WB",3,"1990.000-2019.000",1990,2019,-1.24,-1.68,-0.8,1,-5.459,0,"***","1990~2019
-1.24(-1.68~-0.80)***","1990~2019","-1.24 (-1.68~-0.80)","DALYs","Number"
"Middle SDI",3,"Full Range",1990,2021,-5.94,-6.22,-5.66,1,-40.222,0,"***","1990~2021
-5.94(-6.22~-5.66)***","1990~2021","-5.94 (-6.22~-5.66)","DALYs","Number"
"Middle SDI",3,"1990.000-1999.000",1990,1999,-3.78,-4.11,-3.45,1,-23.093,0,"***","1990~1999
-3.78(-4.11~-3.45)***","1990~1999","-3.78 (-4.11~-3.45)","DALYs","Number"
"Middle SDI",3,"1999.000-2009.000",1999,2009,-1.39,-1.61,-1.17,1,-12.95,0,"***","1999~2009
-1.39(-1.61~-1.17)***","1999~2009","-1.39 (-1.61~-1.17)","DALYs","Number"
"Middle SDI",3,"2009.000-2019.000",2009,2019,-3.25,-3.66,-2.83,1,-15.093,0,"***","2009~2019
-3.25(-3.66~-2.83)***","2009~2019","-3.25 (-3.66~-2.83)","DALYs","Number"
"Middle SDI",3,"2019.000-2021.000",2019,2021,-41.77,-43.94,-39.52,1,-29.58,0,"***","2019~2021
-41.77(-43.94~-39.52)***","2019~2021","-41.77 (-43.94~-39.52)","DALYs","Number"
"Middle SDI",3,"1990.000-2019.000",1990,2019,-2.78,-2.97,-2.58,1,-27.369,0,"***","1990~2019
-2.78(-2.97~-2.58)***","1990~2019","-2.78 (-2.97~-2.58)","DALYs","Number"
"South Asia - WB",3,"Full Range",1990,2021,-5.15,-6.46,-3.82,1,-7.459,0,"***","1990~2021
-5.15(-6.46~-3.82)***","1990~2021","-5.15 (-6.46~-3.82)","DALYs","Number"
"South Asia - WB",3,"1990.000-1999.000",1990,1999,-2.49,-4.96,0.05,0,-1.924,0.054,"","1990~1999
-2.49(-4.96~0.05)","1990~1999","-2.49 (-4.96~0.05)","DALYs","Number"
"South Asia - WB",3,"1999.000-2009.000",1999,2009,-1.14,-2.28,0.02,0,-1.924,0.054,"","1999~2009
-1.14(-2.28~0.02)","1999~2009","-1.14 (-2.28~0.02)","DALYs","Number"
"South Asia - WB",3,"2009.000-2019.000",2009,2019,-6.47,-7.7,-5.22,1,-9.903,0,"***","2009~2019
-6.47(-7.70~-5.22)***","2009~2019","-6.47 (-7.70~-5.22)","DALYs","Number"
"South Asia - WB",3,"2019.000-2021.000",2019,2021,-26.97,-34.05,-19.12,1,-6.401,0,"***","2019~2021
-26.97(-34.05~-19.12)***","2019~2021","-26.97 (-34.05~-19.12)","DALYs","Number"
"South Asia - WB",3,"1990.000-2019.000",1990,2019,-3.42,-4.53,-2.3,1,-5.933,0,"***","1990~2019
-3.42(-4.53~-2.30)***","1990~2019","-3.42 (-4.53~-2.30)","DALYs","Number"
